Latitude,Longitude,Elevation
5222N,00129W,82
5222N,00120W,107
5204N,00037W,111
5213N,00030W,85
5222N,00013W,49
5222N,00013W,49
5221N,00007W,41
5216N,00004E,13
5212N,00011E,15
5222N,00029E,10
5222N,00029E,10
5225N,00034E,10
5225N,00034E,10
5220N,00046E,54
5207N,00058E,87
5258N,00059W,55
5226N,00137E,22
5205N,00124E,29
5208N,00126E,26
5201N,00017W,95
5142N,00503W,37
5143N,00422W,6
5145N,00431W,5
5134N,00359W,35
5136N,00404W,90
5155N,00319W,160
5145N,00320W,372
5138N,00318W,194
5152N,00329W,457
5131N,00235W,69
5154N,00210W,29
5140N,00203W,133
5141N,00147W,87
5152N,00141W,215
5145N,00135W,88
5141N,00119W,80
5156N,00115W,134
5137N,00106W,57
5137N,00105W,63
5138N,00046W,75
5133N,00025W,40
5152N,00022W,160
5141N,00032W,138
5153N,00014E,106
5146N,00015W,77
5158N,00030E,98
5134N,00042E,15
5133N,00051E,3
5133N,00050E,2
5140N,00106E,8
5151N,00117E,6
5101N,00430W,126
5105N,00409W,8
5105N,00336W,347
5112N,00332W,83
5124N,00321W,67
5124N,00326W,50
5129N,00311W,9
5123N,00243W,189
5128N,00236W,11
5130N,00159W,156
5112N,00148W,133
5123N,00117W,122
5115N,00146W,139
5110N,00145W,124
5109N,00134W,91
5115N,00057W,123
5114N,00057W,123
5123N,00047W,74
5123N,00048W,75
5117N,00046W,72
5119N,00002E,183
5117N,00047W,65
5130N,00030W,5
5129N,00027W,24
5105N,00013W,144
5109N,00011W,62
5130N,00007W,39
5118N,00005W,170
5141N,00025W,102
5112N,00047E,91
5126N,00023E,5
5117N,00025E,104
5111N,00038E,47
5117N,00027E,32
5127N,00045E,25
5112N,00101E,139
5108N,00121E,117
5121N,00121E,55
4955N,00617W,45
4955N,00618W,31
5002N,00540W,66
5022N,00532W,88
5005N,00515W,82
5009N,00504W,35
4957N,00511W,57
4958N,00512W,60
5026N,00500W,119
5038N,00436W,291
5030N,00440W,200
5034N,00429W,233
5021N,00407W,27
5025N,00407W,25
5056N,00359W,199
5033N,00400W,510
5024N,00329W,3
5044N,00325W,30
5052N,00314W,255
5052N,00315W,255
5100N,00238W,23
5031N,00226W,53
5031N,00227W,11
5031N,00228W,53
5034N,00227W,3
5047N,00150W,11
5054N,00124W,9
5035N,00118W,16
5049N,00113W,10
5039N,00109W,18
5049N,00055W,4
5041N,00132W,20
5048N,00113W,9
5041N,00127W,25
5050N,00017W,2
5055N,00009E,38
5047N,00003E,5
