Latitude,Longitude,Distance
83.14,-46.46,0.166853
83.14,-45.98,0.349266
83.14,-45.94,0.108353
83.14,-45.7,0.0229401
83.14,-44.94,0.344237
83.14,-44.9,0.09305
83.14,-44.58,0.374663
83.14,-44.54,0.0301411
83.14,-44.5,0.237944
83.14,-44.1,0.210913
83.14,-44.06,0.160809
83.14,-42.94,0.392176
83.14,-42.9,0.12736
83.14,-42.74,0.296651
83.14,-42.7,0.0258029
83.14,-42.66,0.326824
83.14,-42.42,0.259387
83.14,-42.38,0.171863
83.14,-41.86,0.00554269
83.14,-41.58,0.296707
83.14,-41.54,0.218854
83.14,-40.9,0.362454
83.14,-40.86,0.0548446
83.14,-40.82,0.253067
83.14,-40.3,0.442877
83.14,-40.26,0.1579
83.14,-40.22,0.127363
83.14,-40.18,0.412965
83.14,-39.78,0.201063
83.14,-39.74,0.289082
83.14,-39.7,0.4246
83.14,-39.66,0.401763
83.14,-39.62,0.465053
83.14,-38.98,0.412415
83.14,-38.94,0.27405
83.14,-38.9,0.284313
83.14,-38.86,0.294948
83.14,-38.82,0.305952
83.14,-38.78,0.317326
83.14,-38.74,0.329069
83.14,-38.7,0.341183
83.14,-38.66,0.353666
83.14,-38.62,0.366519
83.14,-38.58,0.379741
83.14,-38.54,0.393333
83.14,-38.5,0.407296
83.14,-38.46,0.421628
83.14,-38.42,0.181713
83.14,-38.38,0.0829329
83.14,-38.34,0.347283
83.14,-34.78,0.351012
83.14,-34.74,0.153226
83.14,-34.7,0.044922
83.14,-34.66,0.243413
83.14,-34.62,0.442248
83.14,-34.42,0.402285
83.14,-34.38,0.187006
83.14,-34.34,0.028632
83.14,-34.3,0.244608
83.14,-34.26,0.460922
83.14,-32.26,0.468854
83.14,-32.22,0.0222742
83.14,-32.18,0.424146
83.14,-31.18,0.475109
83.14,-31.14,0.404277
83.14,-31.1,0.333815
83.14,-31.06,0.263716
83.14,-31.02,0.193987
83.14,-30.98,0.124621
83.14,-30.94,0.0556255
83.14,-30.9,0.0130067
83.14,-30.86,0.0812688
83.14,-30.82,0.0900215
83.14,-30.78,0.0167632
83.14,-30.74,0.123915
83.14,-30.7,0.231425
83.14,-30.66,0.339301
83.14,-30.62,0.447535
83.14,-26.94,0.386538
83.14,-26.9,0.189016
83.14,-26.86,0.00815228
83.14,-26.82,0.204987
83.14,-26.78,0.401468
83.14,-25.9,0.00349787
83.1,-77.42,0.436232
83.1,-77.38,0.00586751
83.1,-77.34,0.447756
83.1,-71.26,0.406391
83.1,-71.22,0.233
83.1,-71.18,0.0592579
83.1,-71.14,0.114836
83.1,-71.1,0.289283
83.1,-71.06,0.464081
83.1,-71.02,0.477017
83.1,-70.98,0.43267
83.1,-70.94,0.388685
83.1,-70.9,0.345071
83.1,-70.86,0.301827
83.1,-70.82,0.258954
83.1,-70.78,0.216452
83.1,-70.74,0.17432
83.1,-70.7,0.13256
83.1,-70.66,0.0911782
83.1,-70.62,0.0501594
83.1,-70.58,0.0095114
83.1,-70.54,0.0307657
83.1,-70.5,0.0706718
83.1,-70.46,0.110207
83.1,-70.42,0.149371
83.1,-70.38,0.188164
83.1,-70.34,0.226587
83.1,-70.3,0.264631
83.1,-70.26,0.302311
83.1,-70.22,0.33962
83.1,-70.18,0.376558
83.1,-70.14,0.413125
83.1,-70.1,0.449321
83.1,-70.06,0.485146
83.1,-69.58,0.170641
83.1,-69.54,0.232362
83.1,-46.9,0.494551
83.1,-46.86,0.381335
83.1,-46.34,0.126891
83.1,-46.3,0.321259
83.1,-45.78,0.47713
83.1,-45.74,0.283936
83.1,-45.7,0.0903761
83.1,-45.66,0.10353
