"Latitude","Longitude","Elevation"
5105,-13,144
5109,-11,62
5130,-7,39
5118,-5,170
5141,-25,102
5112,47,91
5126,23,5
5117,25,104
5111,38,47
5117,27,32
5127,45,25
5112,101,139
5108,121,117
5121,121,55
4955,-617,45
4955,-618,31
5002,-540,66
5022,-532,88
5005,-515,82
5009,-504,35
4957,-511,57
4958,-512,60
5026,-500,119
5038,-436,291
5030,-440,200
5034,-429,233
5021,-407,27
5025,-407,25
5056,-359,199
5033,-400,510
5024,-329,3
5044,-325,30
5052,-314,255
5052,-315,255
5100,-238,23
5031,-226,53
5031,-227,11
5031,-228,53
5034,-227,3
5047,-150,11
5054,-124,9
5035,-118,16
5049,-113,10
5039,-109,18
5049,-55,4
5041,-132,20
5048,-113,9
5041,-127,25
5050,-17,2
5055,9,38
5047,3,5
5056,36,82
5054,19,54
5047,18,3
5057,56,3
4943,-212,71
4926,-236,102
4913,-212,84
4912,-206,54
5425,-805,50
5426,-803,145
5424,-739,47
5440,-719,113
5501,-714,73
5504,-701,2
5503,-709,9
5443,-649,225
5443,-631,17
5512,-640,18
5452,-627,64
5351,-606,15
5511,-610,156
5439,-613,81
5448,-610,38
5414,-630,161
5436,-553,5
5440,-535,34
5414,-537,18
5440,-540,11
5451,-548,3
5148,-815,41
5156,-1015,14
5151,-829,162
5215,-620,25
5240,-716,64
5242,-855,20
5317,-901,21
5305,-753,72
5318,-626,93
5326,-615,85
5343,-859,69
5332,-722,104
5411,-714,89
5414,-1000,10
5522,-720,25
6454,-2356,9
6610,-2315,22
6552,-2336,30
6505,-2244,8
6349,-2243,26
6358,-2236,54
6359,-2236,52
6625,-2223,27
6408,-2154,61
6440,-2136,46
6352,-2109,5
6517,-2106,8
6540,-2018,22
6324,-2017,124
6542,-1937,46
6452,-1934,642
6325,-1911,20
6330,-1823,18
6541,-1805,27
6347,-1804,38
6632,-1801,16
6549,-1712,42
6538,-1607,386
6627,-1557,10
6615,-1516,17
6415,-1511,10
6545,-1450,48
6554,-1439,20
6517,-1422,38
6502,-1414,25
6516,-1335,11
7217,-3848,3195
7235,-3846,3213
6629,-4617,2330
6511,-4350,2647
7630,-6900,20
7632,-6830,59
7638,-7300,11
8144,-5900,105
7402,-5749,40
7247,-5610,63
7041,-5437,27
6845,-5130,76
6920,-5335,24
6842,-5245,47
6915,-5104,25
6747,-5358,12
6655,-5340,9
6700,-5048,53
6638,-5252,1453
6525,-5300,24
6501,-5233,14
6410,-5145,70
6234,-5025,22
6412,-5141,86
6200,-4943,16
6113,-4807,29
6111,-4827,137
6046,-4825,33
6111,-4525,26
6043,-4603,34
6048,-4706,13
6100,-4600,30
6032,-4545,20
5959,-4512,16
6015,-4530,23
8338,-3322,4
8209,-2955,4
8136,-1640,36
8136,-1641,34
8038,-1343,10
7646,-1840,12
7418,-2013,44
7215,-2420,10
7029,-2158,66
7025,-2158,41
7045,-2240,10
6747,-3217,23
6536,-3738,52
6534,-3707,34
6417,-4018,85
6225,-4215,10
6156,-4204,39
6002,-4307,19
6124,-640,95
6204,-716,85
6201,-646,39
5704,842,7
5706,952,3
5730,1014,28
5746,1039,7
5726,1031,84
5713,1040,5
5643,1007,2
5642,813,3
5657,915,6
5624,827,15
5600,808,3
5617,908,52
5633,910,21
5559,821,5
5632,937,60
5618,1037,25
5627,1058,8
5609,1013,57
5642,1133,8
5643,1131,3
5531,833,29
5534,805,22
5530,824,11
5511,834,3
5505,834,5
5543,913,74
5544,909,66
5526,920,45
5514,916,40
5518,948,2
5458,948,23
5451,959,14
5528,1020,17
5501,1034,6
5546,1033,5
5449,1108,1
5450,1058,6
5442,1127,5
5505,1147,4
5510,1108,2
5523,1141,38
5543,1143,12
5545,1052,11
5546,1219,31
5559,1152,5
5612,1143,8
5607,1221,35
5600,1117,4
5535,1208,44
5517,1227,40
5457,1233,15
5538,1240,5
5546,1232,40
5532,1243,2
5541,1233,9
5504,1445,16
5519,1511,15
5518,1447,11
5202,421,1
5211,425,2
5305,445,3
5228,435,19
5255,447,14
5451,444,49
5218,446,2
5315,455,5
5239,503,1
5322,513,27
5206,511,4
5208,516,13
5253,521,3
5232,526,2
5227,523,3
5313,545,2
5242,553,3
5204,553,52
5342,612,0
5226,616,5
5244,631,14
5308,635,4
5204,639,29
5312,709,0
5216,654,36
5127,336,10
5132,354,2
5132,355,1
5159,406,13
5127,420,17
5153,419,4
5157,427,4
5134,456,13
5152,509,1
5127,525,22
5139,542,21
5048,543,49
5055,547,116
5130,612,19
5105,239,9
5124,226,7
5112,252,5
5114,255,15
5049,312,25
5056,344,60
5111,349,13
5034,350,63
5048,421,104
5054,430,55
5028,427,192
5112,428,14
5054,432,58
5054,430,55
5120,430,23
5014,439,299
