Latitude,Longitude,Elevation
53.46,-3.02,10
53.1,-2.59,10
53.33,-2.55,56
53.2,-2.51,26
53.37,-2.31,440
53.21,-2.16,78
53.02,-2.05,228
53.58,-2.02,158
53.32,-1.53,522
53.32,-1.52,524
53.49,-1.52,262
53.37,-1.4,259
53.52,-1.39,208
53.48,-1.33,47
53,-1.15,117
53.5,-1.12,9
53.29,-1,17
52.58,-0.34,112
53.18,-0.33,61
53.35,-0.21,31
53.1,-0.31,70
53.02,-0.3,67
53.52,-0.26,6
53.29,0.05,24
53.3,0.04,3
53.4,0.07,10
53.27,-0.12,108
53.05,-0.1,7
53.05,0.16,5
53.19,0.11,14
52.57,-4.34,37
52.49,-4.38,253
53,-4.05,53
52.33,-4.04,22
52.47,-4.44,95
52.49,-4.08,9
52.56,-3.56,193
52.57,-3.25,228
52.45,-3.28,360
52.2,-3.42,244
52.48,-2.4,76
52.38,-2.18,83
52.48,-2.41,74
52.52,-2.32,83
52.5,-1.2,94
52.44,-0.39,138
52.37,-0.29,75
52.37,-0.28,84
52.52,0.09,3
52.39,0.34,23
52.51,0.46,65
52.57,1.08,21
52.34,0.51,59
52.38,1.19,18
52.46,1.21,20
52.41,1.41,14
55.25,-4,92
52.08,-4.34,134
52.21,-3.57,63
52.2,-3.29,279
52.04,-3.37,309
52.26,-3.07,215
52.15,-2.53,99
52.02,-2.51,77
52.07,-2.18,46
52.09,-2.02,32
52.27,-1.44,99
52.22,-1.29,82
52.22,-1.2,107
52.04,-0.37,111
52.13,-0.3,85
52.22,-0.13,49
52.22,-0.13,49
52.21,-0.07,41
52.16,0.04,13
52.12,0.11,15
52.22,0.29,10
52.22,0.29,10
52.25,0.34,10
52.25,0.34,10
52.2,0.46,54
52.07,0.58,87
52.58,-0.59,55
52.26,1.37,22
52.05,1.24,29
52.08,1.26,26
52.01,-0.17,95
51.42,-5.03,37
51.43,-4.22,6
51.45,-4.31,5
51.34,-3.59,35
51.36,-4.04,90
51.55,-3.19,160
51.45,-3.2,372
51.38,-3.18,194
51.52,-3.29,457
51.31,-2.35,69
51.54,-2.1,29
51.4,-2.03,133
51.41,-1.47,87
51.52,-1.41,215
51.45,-1.35,88
51.41,-1.19,80
51.56,-1.15,134
51.37,-1.06,57
51.37,-1.05,63
51.38,-0.46,75
51.33,-0.25,40
51.52,-0.22,160
51.41,-0.32,138
51.53,0.14,106
51.46,-0.15,77
51.58,0.3,98
51.34,0.42,15
51.33,0.51,3
51.33,0.5,2
51.4,1.06,8
51.51,1.17,6
51.01,-4.3,126
51.05,-4.09,8
51.05,-3.36,347
51.12,-3.32,83
51.24,-3.21,67
51.24,-3.26,50
51.29,-3.11,9
51.23,-2.43,189
51.28,-2.36,11
51.3,-1.59,156
51.12,-1.48,133
51.23,-1.17,122
51.15,-1.46,139
51.1,-1.45,124
51.09,-1.34,91
51.15,-0.57,123
51.14,-0.57,123
51.23,-0.47,74
51.23,-0.48,75
51.17,-0.46,72
51.19,0.02,183
51.17,-0.47,65
51.3,-0.3,5
51.29,-0.27,24
51.05,-0.13,144
51.09,-0.11,62
51.3,-0.07,39
51.18,-0.05,170
51.41,-0.25,102
51.12,0.47,91
51.26,0.23,5
51.17,0.25,104
51.11,0.38,47
51.17,0.27,32
51.27,0.45,25
51.12,1.01,139
51.08,1.21,117
51.21,1.21,55
49.55,-6.17,45
49.55,-6.18,31
50.02,-5.4,66
50.22,-5.32,88
50.05,-5.15,82
50.09,-5.04,35
49.57,-5.11,57
49.58,-5.12,60
50.26,-5,119
50.38,-4.36,291
50.3,-4.4,200
50.34,-4.29,233
50.21,-4.07,27
50.25,-4.07,25
50.56,-3.59,199
50.33,-4,510
50.24,-3.29,3
50.44,-3.25,30
50.52,-3.14,255
50.52,-3.15,255
51,-2.38,23
50.31,-2.26,53
50.31,-2.27,11
50.31,-2.28,53
50.34,-2.27,3
50.47,-1.5,11
50.54,-1.24,9
50.35,-1.18,16
50.49,-1.13,10
50.39,-1.09,18
50.49,-0.55,4
50.41,-1.32,20
50.48,-1.13,9
50.41,-1.27,25
50.5,-0.17,2
50.55,0.09,38
50.47,0.03,5
50.56,0.36,82
50.54,0.19,54
50.47,0.18,3
50.57,0.56,3
49.43,-2.12,71
49.26,-2.36,102
49.13,-2.12,84
49.12,-2.06,54
54.25,-8.05,50
54.26,-8.03,145
54.24,-7.39,47
54.4,-7.19,113
55.01,-7.14,73
55.04,-7.01,2
55.03,-7.09,9
54.43,-6.49,225
54.43,-6.31,17
55.12,-6.4,18
54.52,-6.27,64
53.51,-6.06,15
55.11,-6.1,156
54.39,-6.13,81
54.48,-6.1,38
54.14,-6.3,161
54.36,-5.53,5
54.4,-5.35,34
54.14,-5.37,18
54.4,-5.4,11
54.51,-5.48,3
51.48,-8.15,41
51.56,-10.15,14
51.51,-8.29,162
52.15,-6.2,25
52.4,-7.16,64
52.42,-8.55,20
53.17,-9.01,21
53.05,-7.53,72
53.18,-6.26,93
53.26,-6.15,85
53.43,-8.59,69
53.32,-7.22,104
54.11,-7.14,89
54.14,-10,10
55.22,-7.2,25
64.54,-23.56,9
66.1,-23.15,22
65.52,-23.36,30
65.05,-22.44,8
63.49,-22.43,26
63.58,-22.36,54
63.59,-22.36,52
66.25,-22.23,27
64.08,-21.54,61
64.4,-21.36,46
63.52,-21.09,5
65.17,-21.06,8
65.4,-20.18,22
63.24,-20.17,124
65.42,-19.37,46
64.52,-19.34,642
63.25,-19.11,20
63.3,-18.23,18
65.41,-18.05,27
63.47,-18.04,38
66.32,-18.01,16
65.49,-17.12,42
65.38,-16.07,386
66.27,-15.57,10
66.15,-15.16,17
64.15,-15.11,10
65.45,-14.5,48
65.54,-14.39,20
65.17,-14.22,38
65.02,-14.14,25
65.16,-13.35,11
72.17,-38.48,3195
72.35,-38.46,3213
66.29,-46.17,2330
65.11,-43.5,2647
76.3,-69,20
76.32,-68.3,59
76.38,-73,11
81.44,-59,105
74.02,-57.49,40
72.47,-56.1,63
70.41,-54.37,27
68.45,-51.3,76
69.2,-53.35,24
68.42,-52.45,47
69.15,-51.04,25
67.47,-53.58,12
66.55,-53.4,9
67,-50.48,53
66.38,-52.52,1453
65.25,-53,24
65.01,-52.33,14
64.1,-51.45,70
62.34,-50.25,22
64.12,-51.41,86
62,-49.43,16
61.13,-48.07,29
61.11,-48.27,137
60.46,-48.25,33
61.11,-45.25,26
60.43,-46.03,34
60.48,-47.06,13
61,-46,30
60.32,-45.45,20
59.59,-45.12,16
60.15,-45.3,23
83.38,-33.22,4
82.09,-29.55,4
81.36,-16.4,36
81.36,-16.41,34
80.38,-13.43,10
76.46,-18.4,12
74.18,-20.13,44
72.15,-24.2,10
70.29,-21.58,66
70.25,-21.58,41
70.45,-22.4,10
67.47,-32.17,23
65.36,-37.38,52
65.34,-37.07,34
64.17,-40.18,85
62.25,-42.15,10
61.56,-42.04,39
60.02,-43.07,19
61.24,-6.4,95
62.04,-7.16,85
62.01,-6.46,39
57.04,8.42,7
57.06,9.52,3
57.3,10.14,28
57.46,10.39,7
57.26,10.31,84
57.13,10.4,5
56.43,10.07,2
56.42,8.13,3
56.57,9.15,6
56.24,8.27,15
56,8.08,3
56.17,9.08,52
56.33,9.1,21
55.59,8.21,5
56.32,9.37,60
56.18,10.37,25
56.27,10.58,8
56.09,10.13,57
56.42,11.33,8
56.43,11.31,3
55.31,8.33,29
55.34,8.05,22
55.3,8.24,11
55.11,8.34,3
55.05,8.34,5
55.43,9.13,74
55.44,9.09,66
55.26,9.2,45
55.14,9.16,40
55.18,9.48,2
54.58,9.48,23
54.51,9.59,14
55.28,10.2,17
55.01,10.34,6
55.46,10.33,5
54.49,11.08,1
54.5,10.58,6
54.42,11.27,5
55.05,11.47,4
55.1,11.08,2
55.23,11.41,38
55.43,11.43,12
55.45,10.52,11
55.46,12.19,31
55.59,11.52,5
56.12,11.43,8
56.07,12.21,35
56,11.17,4
55.35,12.08,44
55.17,12.27,40
54.57,12.33,15
55.38,12.4,5
55.46,12.32,40
55.32,12.43,2
55.41,12.33,9
55.04,14.45,16
55.19,15.11,15
55.18,14.47,11
52.02,4.21,1
52.11,4.25,2
53.05,4.45,3
52.28,4.35,19
52.55,4.47,14
54.51,4.44,49
52.18,4.46,2
53.15,4.55,5
52.39,5.03,1
53.22,5.13,27
52.06,5.11,4
52.08,5.16,13
52.53,5.21,3
52.32,5.26,2
52.27,5.23,3
53.13,5.45,2
52.42,5.53,3
52.04,5.53,52
