Latitude,Longitude,Distance,Direction
68.45,23.32,151.38136614370902,341.9215236617651
62.02,4.59,20.990909698174637,129.3330810054531
62.2,5.16,3.825457373112637,234.4815623024217
62.11,6.04,3.4941384449855817,17.303213633128166
62.34,6.07,4.477690159489371,186.62869839549018
62.52,6.32,5.590605831085773,66.51542516689119
62.45,7.16,10.06010748323862,354.1492323226704
62.14,7.25,5.747262061172862,219.3256830280153
63.07,7.5,1.1119492664441035,180.0
63.28,7.45,16.64241692007097,82.17332558500334
62.51,8.18,21.22592503568624,354.48489773076886
63.51,8.27,1.2175833256176363,204.04706720279412
62.14,8.22,43.58049485708182,288.182469943095
63.12,9.0,18.33251834060822,291.49313487178335
62.07,9.17,82.10427082654853,335.4420698154524
64.1,9.25,4.680716163525198,198.1645407595028
63.42,9.36,4.557597432558229,347.4067130979469
62.36,9.41,62.746271926997814,324.9191273534319
62.49,10.01,76.31021717659362,299.321316376652
64.24,10.27,2.275761847415683,347.74895827926963
64.48,10.33,9.13133591093903,136.88117621092238
63.28,10.56,16.401616231405004,294.13606696530155
63.13,11.07,35.35713996914016,335.915575094718
63.48,11.34,21.966314255109275,264.38621908657944
64.15,11.12,11.123531923156712,154.0701201989384
64.51,11.14,5.880591828222405,160.96810546169377
64.51,11.14,5.880591828222405,160.96810546169377
62.34,11.23,121.60429923034938,336.54783619470186
62.35,11.21,120.1743804947523,336.7704753473995
64.28,11.35,7.958155523628629,327.0064999824139
63.27,11.42,33.44054846331012,309.4134567562251
64.35,12.32,30.42794960709396,293.9632874087581
64.27,13.43,83.9982126083103,285.3276576749754
61.34,4.41,12.056896835118637,111.55568019605153
60.45,4.43,25.778753146838906,55.72303668627592
61.35,5.02,1.1119492664455182,180.0
60.18,5.13,4.4820777611731115,172.90478446607415
60.23,5.2,1.5671888282287285,224.81293835432612
61.02,5.23,5.200786108148476,211.23823461279108
61.5,6.07,12.00370183742368,248.34365012154774
61.27,5.54,12.2314419309007,0.0
60.5,5.57,6.640598588157845,132.01157609775328
60.24,5.55,2.291406568879543,193.9467024570135
60.13,5.59,7.959342343358976,167.92597112066846
60.39,6.3,4.5343840802571656,255.83958269342008
61.1,6.39,4.836469042822545,270.03939590560555
60.28,6.52,3.986533150966846,123.88137567554048
60.41,6.45,3.38077444686066,170.64453101559593
61.09,7.08,4.641175535622181,224.0748395767167
60.36,7.3,17.87242052027872,330.64722907817975
61.04,7.31,10.46952443775744,50.34739615811259
61.3,7.42,4.934667249793894,205.68320575969406
61.54,7.52,8.958662728473799,186.81143880390493
60.31,8.13,58.326289253613986,291.66634999749795
58.16,7.2,10.793494299352941,258.18603821954036
60.59,9.14,106.3489699029767,311.8441178691132
61.0,9.18,85.24008327522131,287.3417544926832
61.31,9.23,84.52147531198479,263.88902326675753
60.34,9.08,95.09646642645284,123.52453166406087
60.56,10.02,79.63475770991805,156.91150049847215
61.02,2.02,142.21883790126353,88.84523071698959
61.06,10.29,129.96068782600733,172.851260237548
61.53,10.09,133.94982289703825,256.1575161604456
61.39,10.07,130.04307302290846,262.70060672423176
61.24,11.09,150.2227245372308,187.4659920065157
60.12,11.05,29.921589237600113,215.29260992337493
61.1,11.27,136.55201997816454,192.5009727320822
60.37,12.01,87.61167917639504,233.93242664458475
61.53,12.03,194.34558604143456,201.72661102450104
56.32,3.13,286.4970321235138,34.262309446643826
59.18,4.53,23.027085020802403,54.44544009886954
56.33,3.15,284.88403487630956,34.19998958366085
59.55,5.04,8.562317942416339,67.01027690496494
59.21,5.13,4.385736371502872,139.49678371681614
58.39,5.33,27.225414115776676,52.06226217076738
58.53,5.38,15.316486610460332,49.11752576681317
59.29,5.45,1.2485218136027876,27.04537342670426
59.11,6.04,4.780120175172036,45.71881055472795
59.39,6.22,1.1119492664441035,180.0
58.33,6.21,2.0743650179143986,302.4274523459541
58.07,6.34,14.49725294202238,76.59508624946363
58.06,6.38,12.571618466734718,69.19543656785527
58.53,6.51,25.65347909245997,214.66448188051893
59.5,6.59,10.56976215710079,294.9585778440874
59.49,7.13,40.43537624734418,278.2088260473689
57.59,7.03,43.402467388114005,2.335555971675774
61.12,8.14,28.036617367521107,293.5762313884434
58.4,7.48,39.40123865716026,246.99217528022655
59.38,8.16,86.54708899504897,110.47264802803852
58.04,8.03,2.3004266968096156,345.18399420225325
59.5,8.11,94.56164477833092,117.42333812748063
58.12,8.05,2.300089935148981,14.784263876563159
59.02,8.31,55.050113351784674,124.10273239506216
58.39,8.38,13.68677954178125,136.9175263483486
58.24,8.48,2.513006391702626,332.2545331871785
58.38,9.09,14.196589330438133,308.8806520266912
59.23,9.11,30.438901998509515,118.15061823016526
59.34,9.13,36.98463404311012,135.99003577733208
59.54,9.32,51.10113511079612,163.10969846341789
